Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Inventory Qty,Image Src,Image Position,Image Alt Text
nap-time-mid-rise-bikini,Nap Time Mid Rise Bikini,A beautifully crafted piece for your everyday essential. Join the waitlist for exclusive access.,PYNCH,panties,"Sukoon,panties",TRUE,Size,XS,Color,Signature,NAP-001-SIG-XS,3500,10,https://www.justpynch.com/images/models/Models%20New/Comphy/Nap%20Time%20Mid%20Rise%20Bikini/ECOM_CM_CHOME_11_SY-NS-10070_SY-PI-10072_PWF_BODY_FR_SM_SHOT01_58PQP_abf1c7fd-556d-4322-8fa7-d1cf79ed7e4f.webp,1,Nap Time Mid Rise Bikini - Signature
nap-time-mid-rise-bikini,,,,,,,Size,S,Color,Signature,NAP-001-SIG-S,3500,10,,,
nap-time-mid-rise-bikini,,,,,,,Size,M,Color,Signature,NAP-001-SIG-M,3500,10,,,
nap-time-mid-rise-bikini,,,,,,,Size,L,Color,Signature,NAP-001-SIG-L,3500,10,,,
nap-time-mid-rise-bikini,,,,,,,Size,XL,Color,Signature,NAP-001-SIG-XL,3500,10,,,
nap-time-mid-rise-bikini,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Comphy/Nap%20Time%20Mid%20Rise%20Bikini/ECOM_CM_CHOME_11_SY-NS-10070_SY-PI-10072_PWF_BODY_FR_SM_SHOT02_S0WWE_007dac49-5454-444e-ae82-c4067200b606.webp,2,Nap Time Mid Rise Bikini - view 2
nap-time-mid-rise-bikini,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Comphy/Nap%20Time%20Mid%20Rise%20Bikini/ECOM_PR_SY-PI-10072_PWF_DETAIL_SHOT01_2x3_52Z25.webp,3,Nap Time Mid Rise Bikini - view 3
nap-time-mid-rise-bikini,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Comphy/Nap%20Time%20Mid%20Rise%20Bikini/ECOM_PR_SY-PI-10072_PWF_FRONT_SHOT01_2x3_52Z25.webp,4,Nap Time Mid Rise Bikini - view 4
nap-time-mid-rise-bikini,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Comphy/Nap%20Time%20Mid%20Rise%20Bikini/Syrn_DanielDerro8088.webp,5,Nap Time Mid Rise Bikini - view 5
nap-time-mid-rise-bikini,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Comphy/Nap%20Time%20Mid%20Rise%20Bikini/hf_20260713_094347_1963e73f-8846-43d4-a1eb-d55cf4ad9e73.webp,6,Nap Time Mid Rise Bikini - view 6
