Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position
nap-time-mid-rise-bikini,Nap Time Mid Rise Bikini,A beautifully crafted piece for your everyday essential. Join the waitlist for exclusive access.,PYNCH,panties,"Mood:Sukoon,Material:Premium Lace & Organic Cotton",TRUE,Size,XS,NAP-001-XS,shopify,100,deny,manual,3500,TRUE,TRUE,,
nap-time-mid-rise-bikini,,,,,,,Size,S,NAP-001-S,shopify,100,deny,manual,3500,TRUE,TRUE,,
nap-time-mid-rise-bikini,,,,,,,Size,M,NAP-001-M,shopify,100,deny,manual,3500,TRUE,TRUE,,
nap-time-mid-rise-bikini,,,,,,,Size,L,NAP-001-L,shopify,100,deny,manual,3500,TRUE,TRUE,,
nap-time-mid-rise-bikini,,,,,,,Size,XL,NAP-001-XL,shopify,100,deny,manual,3500,TRUE,TRUE,,
nap-time-mid-rise-bikini,,,,,,,,,,,,,,,,,https://justpynch.com/images/models/Models%20New/Comphy/Nap%20Time%20Mid%20Rise%20Bikini/ECOM_CM_CHOME_11_SY-NS-10070_SY-PI-10072_PWF_BODY_FR_SM_SHOT01_58PQP_abf1c7fd-556d-4322-8fa7-d1cf79ed7e4f.webp,1
nap-time-mid-rise-bikini,,,,,,,,,,,,,,,,,https://justpynch.com/images/models/Models%20New/Comphy/Nap%20Time%20Mid%20Rise%20Bikini/ECOM_CM_CHOME_11_SY-NS-10070_SY-PI-10072_PWF_BODY_FR_SM_SHOT02_S0WWE_007dac49-5454-444e-ae82-c4067200b606.webp,2
nap-time-mid-rise-bikini,,,,,,,,,,,,,,,,,https://justpynch.com/images/models/Models%20New/Comphy/Nap%20Time%20Mid%20Rise%20Bikini/ECOM_PR_SY-PI-10072_PWF_DETAIL_SHOT01_2x3_52Z25.webp,3
nap-time-mid-rise-bikini,,,,,,,,,,,,,,,,,https://justpynch.com/images/models/Models%20New/Comphy/Nap%20Time%20Mid%20Rise%20Bikini/ECOM_PR_SY-PI-10072_PWF_FRONT_SHOT01_2x3_52Z25.webp,4
nap-time-mid-rise-bikini,,,,,,,,,,,,,,,,,https://justpynch.com/images/models/Models%20New/Comphy/Nap%20Time%20Mid%20Rise%20Bikini/Syrn_DanielDerro8088.webp,5
nap-time-mid-rise-bikini,,,,,,,,,,,,,,,,,https://justpynch.com/images/models/Models%20New/Comphy/Nap%20Time%20Mid%20Rise%20Bikini/hf_20260713_094347_1963e73f-8846-43d4-a1eb-d55cf4ad9e73.webp,6
soft-launch-scoop-bralette,Soft Launch Scoop Bralette,A beautifully crafted piece for your everyday essential. Join the waitlist for exclusive access.,PYNCH,bras,"Mood:Sukoon,Material:Premium Lace & Organic Cotton",TRUE,Size,XS,SOF-001-XS,shopify,100,deny,manual,3500,TRUE,TRUE,,
soft-launch-scoop-bralette,,,,,,,Size,S,SOF-001-S,shopify,100,deny,manual,3500,TRUE,TRUE,,
soft-launch-scoop-bralette,,,,,,,Size,M,SOF-001-M,shopify,100,deny,manual,3500,TRUE,TRUE,,
soft-launch-scoop-bralette,,,,,,,Size,L,SOF-001-L,shopify,100,deny,manual,3500,TRUE,TRUE,,
soft-launch-scoop-bralette,,,,,,,Size,XL,SOF-001-XL,shopify,100,deny,manual,3500,TRUE,TRUE,,
soft-launch-scoop-bralette,,,,,,,,,,,,,,,,,https://justpynch.com/images/models/Models%20New/Comphy/Soft%20Launch%20Scoop%20Bralette/ECOM_CM_DWMYN_02_SY-NS-10036_BYT_TOP_BK_MO_SHOT01_5928A.webp,1
soft-launch-scoop-bralette,,,,,,,,,,,,,,,,,https://justpynch.com/images/models/Models%20New/Comphy/Soft%20Launch%20Scoop%20Bralette/ECOM_CM_DWMYN_06_SY-PI-10035_SY-NS-10036_DTN_BODY_BK_MB_SHOT01_GKI2Y.webp,2
soft-launch-scoop-bralette,,,,,,,,,,,,,,,,,https://justpynch.com/images/models/Models%20New/Comphy/Soft%20Launch%20Scoop%20Bralette/hf_20260713_093816_85d66ebe-8e03-4679-baa0-625c98daf954.webp,3
soft-launch-scoop-bralette,,,,,,,,,,,,,,,,,https://justpynch.com/images/models/Models%20New/Comphy/Soft%20Launch%20Scoop%20Bralette/hf_20260713_093900_f94af604-1237-4b3a-bab1-2b103fd4baa4.webp,4
soft-launch-scoop-bralette,,,,,,,,,,,,,,,,,https://justpynch.com/images/models/Models%20New/Comphy/Soft%20Launch%20Scoop%20Bralette/hf_20260713_093918_63c4ab61-dcd4-4e39-879b-f89c383394b4.webp,5
soft-launch-scoop-bralette,,,,,,,,,,,,,,,,,https://justpynch.com/images/models/Models%20New/Comphy/Soft%20Launch%20Scoop%20Bralette/hf_20260713_094014_c5224066-c3bd-4fa1-b4f4-f39e4c88f049.webp,6
soft-launch-scoop-bralette,,,,,,,,,,,,,,,,,https://justpynch.com/images/models/Models%20New/Comphy/Soft%20Launch%20Scoop%20Bralette/hf_20260713_094155_980bb6cf-2266-4651-81c6-c45fd8593f7f.webp,7
the-kiss-goodnight-triangle-bralette,The Kiss Goodnight Triangle Bralette,A beautifully crafted piece for your everyday essential. Join the waitlist for exclusive access.,PYNCH,bras,"Mood:Sukoon,Material:Premium Lace & Organic Cotton",TRUE,Size,XS,THE-001-XS,shopify,100,deny,manual,3500,TRUE,TRUE,,
the-kiss-goodnight-triangle-bralette,,,,,,,Size,S,THE-001-S,shopify,100,deny,manual,3500,TRUE,TRUE,,
the-kiss-goodnight-triangle-bralette,,,,,,,Size,M,THE-001-M,shopify,100,deny,manual,3500,TRUE,TRUE,,
the-kiss-goodnight-triangle-bralette,,,,,,,Size,L,THE-001-L,shopify,100,deny,manual,3500,TRUE,TRUE,,
the-kiss-goodnight-triangle-bralette,,,,,,,Size,XL,THE-001-XL,shopify,100,deny,manual,3500,TRUE,TRUE,,
the-kiss-goodnight-triangle-bralette,,,,,,,,,,,,,,,,,https://justpynch.com/images/models/Models%20New/Comphy/The%20Kiss%20Goodnight%20Triangle%20Bralette/ECOM_CM_CHOME_02_SY-NS-10070_SY-PI-10069_AFD_BODY_SD_SM_SHOT01_UD424_f392a985-18ea-4269-9e17-33482d6d5211.webp,1
the-kiss-goodnight-triangle-bralette,,,,,,,,,,,,,,,,,https://justpynch.com/images/models/Models%20New/Comphy/The%20Kiss%20Goodnight%20Triangle%20Bralette/ECOM_CM_CHOME_04_SY-NS-10070_SY-PI-10072_PWF_BODY_BK_KL_SHOT01_D3XGP_3d88b378-0297-48ba-ba0b-3c2384240ebc.webp,2
